Tipo de consulta
Aclaraciones de actividad
Consulta disponibilidad
Problemas para el pago
Recomendaciones generales
Aclaraciones de actividad
Consulta precios
Consulta general
Dudas hotel de recogida
Cambiar fecha u hora
No he recibido bono | entrada | confirmación
Proveedor ha cancelado reserva
Recogida en actividad
Cambiar datos
Consulta traslados
Añadir personas
Solicitar factura
Incumplimiento del servicio
Problemas en destino
Problemas personales cliente
No show guía
No show transfer
Información errónea del servicio
Bono no recibido o no válido
Devolución incorrecta
